trial,state,value,head_lr,backbone_lr,weight_decay,ema_decay,unfreeze_backbone,augmentation,class_weighted_loss,label_smoothing,ema,differential_lr,cosine_schedule,warmup,test_accuracy,test_loss,epochs_trained,budget
0,COMPLETE,0.55,0.002184541862277257,4.928520164316002e-05,6.12206786110069e-05,0.8709285946530098,True,True,True,True,False,True,False,True,0.5277777777777778,1.5196326467725965,15,15
1,PRUNED,0.24444444444444444,0.0024909236512692698,7.444884883924546e-05,3.673892558475953e-05,0.9693036794374861,False,False,True,True,True,False,False,False,0.20555555555555555,2.9961539533403183,5,5
2,COMPLETE,0.5888888888888889,0.00042856154046573336,0.0009237310549621222,0.00012843835644130606,0.870701205851041,True,False,True,True,True,False,True,True,0.6111111111111112,1.3423724386427138,12,15
3,COMPLETE,0.2,0.0007442594644955126,0.00016423885440552065,0.0005321133658684601,0.9157366690516091,False,False,True,False,False,False,False,False,0.11666666666666667,3.4853116777208117,5,5
4,COMPLETE,0.6,0.005470530982721739,7.863354321771013e-05,4.591984193461922e-05,0.910975029808235,True,False,True,True,False,True,False,False,0.5888888888888889,1.331065951453315,15,15
5,COMPLETE,0.4,0.0010182295494865776,1.3200579059703788e-05,4.8781709295025464e-05,0.9010828542137609,True,False,False,True,False,False,True,True,0.39444444444444443,1.875314129723443,5,5
